cbsa_fips,cbsa,city_fips,city,peak_yr,peak_pop,decades_since_peak,pop_2010,decline_since_peak,age,dec_since_peak_nonzero
22660,"Fort Collins, CO",827425,Fort Collins city,2010,143986,0,143986,0,30,-1e-4
22900,"Fort Smith, AR-OK",524550,Fort Smith city,2010,86209,0,86209,0,50,-1e-4
23060,"Fort Wayne, IN",1825000,Fort Wayne city,2010,253691,0,253691,0,100,-1e-4
23420,"Fresno, CA",627000,Fresno city,2010,494665,0,494665,0,80,-1e-4
23460,"Gadsden, AL",128696,Gadsden city,1960,58088,5,36856,0.3655143919570307,60,0.3655143919570307
23540,"Gainesville, FL",1225175,Gainesville city,2010,124354,0,124354,0,40,-1e-4
23580,"Gainesville, GA",1331908,Gainesville city,2010,33804,0,33804,0,0,-1e-4
23900,"Gettysburg, PA",4228960,Gettysburg borough,1960,7960,5,7620,0.04271356783919598,0,0.04271356783919598
24020,"Glens Falls, NY",3629333,Glens Falls city,1950,19610,6,14700,0.25038245792962777,0,0.25038245792962777
24140,"Goldsboro, NC",3726880,Goldsboro city,1990,40709,2,36437,0.10493993957110222,0,0.10493993957110222
24220,"Grand Forks, ND-MN",3832060,Grand Forks city,2010,52838,0,52838,0,0,-1e-4
24260,"Grand Island, NE",3119595,Grand Island city,2010,48520,0,48520,0,0,-1e-4
24300,"Grand Junction, CO",831660,Grand Junction city,2010,58566,0,58566,0,0,-1e-4
24340,"Grand Rapids-Wyoming, MI",2634000,Grand Rapids city,2000,197800,1,188040,0.049342770475227504,120,0.049342770475227504
24420,"Grants Pass, OR",4130550,Grants Pass city,2010,34533,0,34533,0,0,-1e-4
24500,"Great Falls, MT",3032800,Great Falls city,1970,60091,4,58505,0.026393303489707278,50,0.026393303489707278
24540,"Greeley, CO",832155,Greeley city,2010,92889,0,92889,0,30,-1e-4
24580,"Green Bay, WI",5531000,Green Bay city,2010,104057,0,104057,0,60,-1e-4
24660,"Greensboro-High Point, NC",3728000,Greensboro city,2010,269666,0,269666,0,80,-1e-4
24780,"Greenville, NC",3728080,Greenville city,2010,84554,0,84554,0,10,-1e-4
24860,"Greenville-Anderson-Mauldin, SC",4530850,Greenville city,1960,66188,5,58409,0.11752885719465764,60,0.11752885719465764
25060,"Gulfport-Biloxi-Pascagoula, MS",2829700,Gulfport city,2000,71127,1,67793,0.04687390161260843,10,0.04687390161260843
25180,"Hagerstown-Martinsburg, MD-WV",2436075,Hagerstown city,2010,39662,0,39662,0,0,-1e-4
25220,"Hammond, LA",2232755,Hammond city,2010,20019,0,20019,0,0,-1e-4
25260,"Hanford-Corcoran, CA",631960,Hanford city,2010,53967,0,53967,0,0,-1e-4
25420,"Harrisburg-Carlisle, PA",4232800,Harrisburg city,1950,89544,6,49528,0.4468864468864469,110,0.4468864468864469
25500,"Harrisonburg, VA",5135624,Harrisonburg city,2010,48914,0,48914,0,0,-1e-4
25540,"Hartford-West Hartford-East Hartford, CT",937000,Hartford city,1950,177397,6,124775,0.29663410316972666,120,0.29663410316972666
25620,"Hattiesburg, MS",2831020,Hattiesburg city,2010,45989,0,45989,0,0,-1e-4
25860,"Hickory-Lenoir-Morganton, NC",3731060,Hickory city,2010,40010,0,40010,0,0,-1e-4
25940,"Hilton Head Island-Bluffton-Beaufort, SC",4534045,Hilton Head Island town,2010,37099,0,37099,0,0,-1e-4
25980,"Hinesville, GA",1338964,Hinesville city,2010,33437,0,33437,0,0,-1e-4
26300,"Hot Springs, AR",533400,Hot Springs city,1980,35781,3,35193,0.016433302590760458,0,0.016433302590760458
26380,"Houma-Thibodaux, LA",2236255,Houma city,2010,33727,0,33727,0,0,-1e-4
26420,"Houston-The Woodlands-Sugar Land, TX",4835000,Houston city,2010,2099451,0,2099451,0,100,-1e-4
26580,"Huntington-Ashland, WV-KY-OH",5439460,Huntington city,1950,86353,6,49138,0.4309636028858291,90,0.4309636028858291
26620,"Huntsville, AL",137000,Huntsville city,2010,180105,0,180105,0,50,-1e-4
26820,"Idaho Falls, ID",1639700,Idaho Falls city,2010,56813,0,56813,0,10,-1e-4
