cbsa_fips,name,bldgs,strct,sites,objct,dists,hist_reg
35840,"North Port-Sarasota-Bradenton, FL",5,1,3,0,5,14
35980,"Norwich-New London, CT",22,14,2,0,5,43
36100,"Ocala, FL",1,0,0,0,1,2
36140,"Ocean City, NJ",0,3,0,0,0,3
36220,"Odessa, TX",0,0,0,0,0,0
36260,"Ogden-Clearfield, UT",3,1,0,0,3,7
36420,"Oklahoma City, OK",3,7,4,0,6,20
36500,"Olympia-Tumwater, WA",1,4,5,0,0,10
36540,"Omaha-Council Bluffs, NE-IA",5,10,4,1,5,25
36740,"Orlando-Kissimmee-Sanford, FL",1,0,2,0,3,6
36780,"Oshkosh-Neenah, WI",1,3,0,0,0,4
36980,"Owensboro, KY",3,0,0,2,1,6
37100,"Oxnard-Thousand Oaks-Ventura, CA",0,1,0,0,2,3
37340,"Palm Bay-Melbourne-Titusville, FL",1,1,0,2,0,4
37460,"Panama City, FL",1,0,0,0,0,1
37620,"Parkersburg-Vienna, WV",1,1,0,1,0,3
37860,"Pensacola-Ferry Pass-Brent, FL",0,0,3,0,0,3
37900,"Peoria, IL",2,4,0,2,1,9
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",172,90,13,0,30,305
38060,"Phoenix-Mesa-Scottsdale, AZ",7,26,2,1,8,44
38220,"Pine Bluff, AR",3,4,4,4,1,16
38300,"Pittsburgh, PA",20,64,8,0,7,99
38340,"Pittsfield, MA",24,4,1,0,3,32
38540,"Pocatello, ID",0,0,1,0,1,2
38860,"Portland-South Portland, ME",16,11,3,2,19,51
38900,"Portland-Vancouver-Hillsboro, OR-WA",8,8,9,0,3,28
38940,"Port St. Lucie, FL",1,2,2,0,0,5
39140,"Prescott, AZ",2,12,1,0,2,17
39300,"Providence-Warwick, RI-MA",96,32,13,8,21,170
39340,"Provo-Orem, UT",0,6,14,0,3,23
39380,"Pueblo, CO",1,5,1,0,0,7
39460,"Punta Gorda, FL",0,0,0,0,0,0
39540,"Racine, WI",3,0,0,0,0,3
39580,"Raleigh, NC",21,1,2,0,7,31
39660,"Rapid City, SD",1,7,2,1,7,18
39740,"Reading, PA",31,14,1,0,3,49
39820,"Redding, CA",0,0,1,0,3,4
39900,"Reno, NV",1,3,0,1,1,6
40060,"Richmond, VA",119,6,6,3,10,144
40140,"Riverside-San Bernardino-Ontario, CA",2,4,1,1,5,13
40220,"Roanoke, VA",15,6,0,1,5,27
40340,"Rochester, MN",3,10,0,0,0,13
