cbsa_fips,cbsa,pop_2005,pop_2015
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",317745,431167
34900,"Napa, CA (Metropolitan Statistical Area)",130381,141096
34940,"Naples-Marco Island, FL (Metropolitan Statistical Area)",307452,356107
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",1487370,1804969
35100,"New Bern, NC (Metropolitan Statistical Area)",117787,125434
35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",847162,860292
35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",1386429,1260452
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",18568830,19329675
35660,"Niles, MI (Metropolitan Statistical Area)",158510,155071
35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",674757,767429
35980,"Norwich-New London, CT (Metropolitan Statistical Area)",269664,269717
36100,"Ocala, FL (Metropolitan Statistical Area)",303558,342335
36140,"Ocean City, NJ (Metropolitan Statistical Area)",99269,94180
36220,"Odessa, TX (Metropolitan Statistical Area)",125378,159933
36260,"Ogden-Clearfield, UT (Metropolitan Statistical Area)",532425,640517
36420,"Oklahoma City, OK (Metropolitan Statistical Area)",1161308,1358012
36500,"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",227023,268014
36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",814309,913201
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",1955794,2387554
36780,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",161451,169270
36980,"Owensboro, KY (Metropolitan Statistical Area)",111469,117565
37100,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",794197,846922
37340,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",529907,565992
37460,"Panama City, FL (Metropolitan Statistical Area)",162917,181387
37620,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",92655,92131
37860,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",439471,475563
37900,"Peoria, IL (Metropolitan Statistical Area)",407224,412872
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",5829139,6057621
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",3774696,4581122
38220,"Pine Bluff, AR (Metropolitan Statistical Area)",103917,94018
38300,"Pittsburgh, PA (Metropolitan Statistical Area)",2374483,2347907
38340,"Pittsfield, MA (Metropolitan Statistical Area)",132563,127857
38540,"Pocatello, ID (Metropolitan Statistical Area)",84845,91916
38860,"Portland-South Portland, ME (Metropolitan Statistical Area)",510287,525926
38900,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",2067325,2382370
38940,"Port St. Lucie, FL (Metropolitan Statistical Area)",383877,453066
39100,"Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area)",658884,670260
39150,"Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",195424,220845
39300,"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",1613353,1613051
39340,"Provo-Orem, UT (Metropolitan Statistical Area)",439623,583191
39380,"Pueblo, CO (Metropolitan Statistical Area)",149825,163111
39460,"Punta Gorda, FL (Metropolitan Statistical Area)",155262,172437
39540,"Racine, WI (Metropolitan Statistical Area)",193251,194710
39580,"Raleigh-Cary, NC (Metropolitan Statistical Area)",944725,1271196
39660,"Rapid City, SD (Metropolitan Statistical Area)",118188,134840
39740,"Reading, PA (Metropolitan Statistical Area)",395933,415193
39820,"Redding, CA (Metropolitan Statistical Area)",175615,178361
39900,"Reno, NV (Metropolitan Statistical Area)",396546,446606
