cbsa_fips,cbsa,inc_2005,inc_2015
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",32428,45805
41660,"San Angelo, TX (Metropolitan Statistical Area)",30368,43165
41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",31285,43410
41740,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",41838,54801
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",55702,82608
41940,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",52754,85011
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",35687,51714
42100,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",41886,59727
42140,"Santa Fe, NM (Metropolitan Statistical Area)",38833,51894
42200,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",41795,57307
42220,"Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",40531,55515
42340,"Savannah, GA (Metropolitan Statistical Area)",33203,43065
42540,"Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",31348,41701
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",44318,63610
42680,"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",53777,68429
42700,"Sebring-Avon Park, FL (Metropolitan Statistical Area)",24779,32236
43100,"Sheboygan, WI (Metropolitan Statistical Area)",34249,47022
43300,"Sherman-Denison, TX (Metropolitan Statistical Area)",27310,38926
43340,"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",31753,44716
43420,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",28067,36818
43580,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",34099,46502
43620,"Sioux Falls, SD (Metropolitan Statistical Area)",37780,55479
43780,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",31891,43115
43900,"Spartanburg, SC (Metropolitan Statistical Area)",29260,39772
44060,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",29484,41196
44100,"Springfield, IL (Metropolitan Statistical Area)",33364,44011
44140,"Springfield, MA (Metropolitan Statistical Area)",33594,47747
44180,"Springfield, MO (Metropolitan Statistical Area)",30009,37736
44220,"Springfield, OH (Metropolitan Statistical Area)",28631,37064
44300,"State College, PA (Metropolitan Statistical Area)",31011,41609
44420,"Staunton, VA (Metropolitan Statistical Area) *",30130,40876
44700,"Stockton, CA (Metropolitan Statistical Area)",30054,39955
44940,"Sumter, SC (Metropolitan Statistical Area)",25107,34250
45060,"Syracuse, NY (Metropolitan Statistical Area)",31865,44540
45220,"Tallahassee, FL (Metropolitan Statistical Area)",31874,38249
45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",34740,43407
45460,"Terre Haute, IN (Metropolitan Statistical Area)",26341,34476
45500,"Texarkana, TX-AR (Metropolitan Statistical Area)",26996,35193
45540,"The Villages, FL (Metropolitan Statistical Area)",24300,40210
45780,"Toledo, OH (Metropolitan Statistical Area)",31690,42847
45820,"Topeka, KS (Metropolitan Statistical Area)",31168,41763
45940,"Trenton-Princeton, NJ (Metropolitan Statistical Area)",48648,63470
46060,"Tucson, AZ (Metropolitan Statistical Area)",30859,39025
46140,"Tulsa, OK (Metropolitan Statistical Area)",35832,54327
46220,"Tuscaloosa, AL (Metropolitan Statistical Area)",28463,35161
46300,"Twin Falls, ID (Metropolitan Statistical Area)",26836,36920
46340,"Tyler, TX (Metropolitan Statistical Area)",33870,47364
46520,"Urban Honolulu, HI (Metropolitan Statistical Area)",38912,53208
46540,"Utica-Rome, NY (Metropolitan Statistical Area)",28410,39546
46660,"Valdosta, GA (Metropolitan Statistical Area)",26412,33091
46700,"Vallejo, CA (Metropolitan Statistical Area)",34310,45146
47020,"Victoria, TX (Metropolitan Statistical Area)",31571,44676
47220,"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",28429,36891
47260,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area) *",35643,46641
47300,"Visalia, CA (Metropolitan Statistical Area)",26131,37366
47380,"Waco, TX (Metropolitan Statistical Area)",26883,37183
