cbsa_fips,cbsa,population_2015,clusterm_10,clusterm_18
49420,"Yakima, WA",248065,1,1
13780,"Binghamton, NY",245154,2,2
46220,"Tuscaloosa, AL",240530,1,14
16580,"Champaign-Urbana, IL",239109,6,10
45820,"Topeka, KS",233580,5,6
11540,"Appleton, WI",233229,5,9
22020,"Fargo, ND-MN",232880,6,10
31420,"Macon, GA",229849,2,5
16820,"Charlottesville, VA",228622,6,10
17020,"Chico, CA",224812,5,6
46340,"Tyler, TX",222447,5,6
39140,"Prescott, AZ",220845,9,13
16620,"Charleston, WV",220390,2,5
30980,"Longview, TX",217260,1,1
15540,"Burlington-South Burlington, VT",217137,6,10
29200,"Lafayette-West Lafayette, IN",215355,6,10
29740,"Las Cruces, NM",214151,1,14
40340,"Rochester, MN",213859,5,9
12700,"Barnstable Town, MA",213811,9,13
26380,"Houma-Thibodaux, LA",212119,1,1
13380,"Bellingham, WA",211940,5,6
32780,"Medford, OR",211432,5,6
44100,"Springfield, IL",211239,5,6
22500,"Florence, SC",206259,1,1
49740,"Yuma, AZ",205456,9,13
29340,"Lake Charles, LA",205252,1,1
21140,"Elkhart-Goshen, IN",203024,5,9
12020,"Athens-Clarke County, GA",202533,6,10
27740,"Johnson City, TN",200281,1,1
37460,"Panama City, FL",197315,5,6
41060,"St. Cloud, MN",195302,5,9
39540,"Racine, WI",194710,5,9
40980,"Saginaw, MI",193314,2,5
27340,"Jacksonville, NC",193037,1,1
23580,"Gainesville, GA",192458,1,1
14010,"Bloomington, IL",189341,5,9
47580,"Warner Robins, GA",187664,1,1
31340,"Lynchburg, VA",181877,5,9
13980,"Blacksburg-Christiansburg-Radford, VA",181345,6,10
28740,"Kingston, NY",179692,5,9
33740,"Monroe, LA",179369,1,1
20940,"El Centro, CA",179179,7,11
39820,"Redding, CA",178361,5,6
27900,"Joplin, MO",176699,5,9
24780,"Greenville, NC",176098,1,14
17860,"Columbia, MO",174585,6,10
13460,"Bend-Redmond, OR",174244,5,6
20100,"Dover, DE",173129,4,4
34740,"Muskegon, MI",172462,4,4
39460,"Punta Gorda, FL",172437,9,13
47940,"Waterloo-Cedar Falls, IA",170855,5,9
45460,"Terre Haute, IN",170438,2,5
10180,"Abilene, TX",169704,1,1
14540,"Bowling Green, KY",169488,1,1
49700,"Yuba City, CA",169471,7,11
36780,"Oshkosh-Neenah, WI",169270,5,9
43580,"Sioux City, IA-NE-SD",168643,5,9
33260,"Midland, TX",168012,3,3
13740,"Billings, MT",167755,5,6
26980,"Iowa City, IA",167078,6,10
20740,"Eau Claire, WI",165535,5,9
14020,"Bloomington, IN",165050,6,10
39380,"Pueblo, CO",163111,1,1
27500,"Janesville-Beloit, WI",161052,5,9
44300,"State College, PA",160442,6,10
36220,"Odessa, TX",159933,1,1
27100,"Jackson, MI",159292,2,5
15500,"Burlington, NC",157100,1,1
12220,"Auburn-Opelika, AL",157009,6,10
35660,"Niles-Benton Harbor, MI",155071,5,9
47220,"Vineland-Bridgeton, NJ",154838,4,4
41100,"St. George, UT",154680,5,6
10780,"Alexandria, LA",154102,1,1
31460,"Madera, CA",153739,7,11
10500,"Albany, GA",153604,1,1
19460,"Decatur, AL",152419,1,1
12620,"Bangor, ME",151949,6,10
27620,"Jefferson City, MO",150902,5,6
25260,"Hanford-Corcoran, CA",150199,7,11
