cbsa_fips,cbsa,percapita_income_2015
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN ",51805
35100,"New Bern, NC ",40425
35300,"New Haven-Milford, CT ",51817
35380,"New Orleans-Metairie, LA ",48350
35620,"New York-Newark-Jersey City, NY-NJ-PA ",66126
35660,"Niles, MI ",42486
35840,"North Port-Sarasota-Bradenton, FL ",51528
35980,"Norwich-New London, CT ",53686
36100,"Ocala, FL ",33582
36140,"Ocean City, NJ ",54102
36220,"Odessa, TX ",41988
36260,"Ogden-Clearfield, UT ",38876
36420,"Oklahoma City, OK ",45401
36500,"Olympia-Lacey-Tumwater, WA ",45782
36540,"Omaha-Council Bluffs, NE-IA ",53857
36740,"Orlando-Kissimmee-Sanford, FL ",39324
36780,"Oshkosh-Neenah, WI ",43470
36980,"Owensboro, KY ",39487
37100,"Oxnard-Thousand Oaks-Ventura, CA ",55711
37340,"Palm Bay-Melbourne-Titusville, FL ",41018
37460,"Panama City, FL ",40404
37620,"Parkersburg-Vienna, WV ",38058
37860,"Pensacola-Ferry Pass-Brent, FL ",39692
37900,"Peoria, IL ",45090
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",58161
38060,"Phoenix-Mesa-Chandler, AZ ",41483
38220,"Pine Bluff, AR ",31423
38300,"Pittsburgh, PA ",51198
38340,"Pittsfield, MA ",51203
38540,"Pocatello, ID ",34750
38860,"Portland-South Portland, ME ",50618
38900,"Portland-Vancouver-Hillsboro, OR-WA ",50184
38940,"Port St. Lucie, FL ",48604
39100,"Poughkeepsie-Newburgh-Middletown, NY ",48294
39150,"Prescott Valley-Prescott, AZ ",35500
39300,"Providence-Warwick, RI-MA ",49480
39340,"Provo-Orem, UT ",35627
39380,"Pueblo, CO ",35534
39460,"Punta Gorda, FL ",38464
39540,"Racine, WI ",44758
39580,"Raleigh-Cary, NC ",50099
39660,"Rapid City, SD ",45999
39740,"Reading, PA ",44935
39820,"Redding, CA ",42298
39900,"Reno, NV ",50463
40060,"Richmond, VA ",52267
40140,"Riverside-San Bernardino-Ontario, CA ",36485
40220,"Roanoke, VA ",44342
40340,"Rochester, MN ",49081
40380,"Rochester, NY ",46325
40420,"Rockford, IL ",40158
40580,"Rocky Mount, NC ",36276
40660,"Rome, GA ",35472
40900,"Sacramento-Roseville-Folsom, CA ",51072
40980,"Saginaw, MI ",35828
41060,"St. Cloud, MN ",42656
41100,"St. George, UT ",33039
41140,"St. Joseph, MO-KS ",36184
41180,"St. Louis, MO-IL ",49668
41420,"Salem, OR ",38369
41500,"Salinas, CA ",51672
41540,"Salisbury, MD-DE ",45514
41620,"Salt Lake City, UT ",45805
41660,"San Angelo, TX ",43165
41700,"San Antonio-New Braunfels, TX ",43410
41740,"San Diego-Chula Vista-Carlsbad, CA ",54801
41860,"San Francisco-Oakland-Berkeley, CA ",82608
41940,"San Jose-Sunnyvale-Santa Clara, CA ",85011
42020,"San Luis Obispo-Paso Robles, CA ",51714
42100,"Santa Cruz-Watsonville, CA ",59727
42140,"Santa Fe, NM ",51894
42200,"Santa Maria-Santa Barbara, CA ",57307
42220,"Santa Rosa-Petaluma, CA ",55515
42340,"Savannah, GA ",43065
42540,"Scranton--Wilkes-Barre, PA ",41701
42660,"Seattle-Tacoma-Bellevue, WA ",63610
42680,"Sebastian-Vero Beach, FL ",68429
42700,"Sebring-Avon Park, FL ",32236
43100,"Sheboygan, WI ",47022
43300,"Sherman-Denison, TX ",38926
43340,"Shreveport-Bossier City, LA ",44716
43420,"Sierra Vista-Douglas, AZ ",36818
43580,"Sioux City, IA-NE-SD ",46502
43620,"Sioux Falls, SD ",55479
43780,"South Bend-Mishawaka, IN-MI ",43115
43900,"Spartanburg, SC ",39772
44060,"Spokane-Spokane Valley, WA ",41196
44100,"Springfield, IL ",44011
44140,"Springfield, MA ",47747
44180,"Springfield, MO ",37736
44220,"Springfield, OH ",37064
44300,"State College, PA ",41609
44420,"Staunton, VA ",40876
44700,"Stockton, CA ",39955
44940,"Sumter, SC ",34250
45060,"Syracuse, NY ",44540
45220,"Tallahassee, FL ",38249
45300,"Tampa-St. Petersburg-Clearwater, FL ",43407
45460,"Terre Haute, IN ",34476
45500,"Texarkana, TX-AR ",35193
45540,"The Villages, FL ",40210
45780,"Toledo, OH ",42847
45820,"Topeka, KS ",41763
45940,"Trenton-Princeton, NJ ",63470
46060,"Tucson, AZ ",39025
46140,"Tulsa, OK ",54327
46220,"Tuscaloosa, AL ",35161
46300,"Twin Falls, ID ",36920
46340,"Tyler, TX ",47364
46520,"Urban Honolulu, HI ",53208
46540,"Utica-Rome, NY ",39546
46660,"Valdosta, GA ",33091
46700,"Vallejo, CA ",45146
47020,"Victoria, TX ",44676
47220,"Vineland-Bridgeton, NJ ",36891
